Gene,Pt_mRCC_SC_90,Pt_mRCC_SC_1,Pt_mRCC_SC_23,Pt_mRCC_SC_93,Pt_mRCC_SC_39,Pt_mRCC_SC_84,Pt_mRCC_SC_75,Pt_mRCC_SC_79,Pt_mRCC_SC_12,Pt_mRCC_SC_24,Pt_mRCC_SC_36,Pt_mRCC_SC_85,Pt_mRCC_SC_33,Pt_mRCC_SC_81,Pt_mRCC_SC_87,Pt_mRCC_SC_59,Pt_mRCC_SC_56,Pt_mRCC_SC_64,Pt_mRCC_SC_17,Pt_mRCC_SC_43,Pt_mRCC_SC_92,Pt_mRCC_SC_30,Pt_mRCC_SC_57,Pt_mRCC_SC_53,Pt_mRCC_SC_61,Pt_mRCC_SC_11,Pt_mRCC_SC_21,Pt_mRCC_SC_71,Pt_mRCC_SC_5,Pt_mRCC_SC_3,Pt_mRCC_SC_86,Pt_mRCC_SC_69,Pt_mRCC_SC_58,Pt_mRCC_SC_88,Pt_mRCC_SC_10
KCNE3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNE4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNE5,1,0,0,34,0,0,0,4,0,0,0,34,0,0,0,0,0,1,0,0,0,0,3,44,0,4,0,107,0,0,1,0,0,0,45
KCNG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNG4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNH1,0,1,0,0,1,0,0,0,11,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
KCNH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNH3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNH5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNH6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
KCNH7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
KCNH8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNIP1,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNIP2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNIP2.AS1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNIP3,1,163,7,19,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,33,0,0,0,0,0,0,9,0,0,0,5,0
KCNIP4,0,2,0,2,0,1,6,0,23,0,3,0,0,12,0,0,14,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,5,1,7
KCNIP4.IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KCNJ12,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ13,0,0,112,3,0,0,0,0,61,0,0,186,0,0,0,0,0,118,0,0,1,0,26,1,0,1,0,0,0,0,0,0,0,6,0
KCNJ14,119,16,10,129,13,16,4,0,14,25,3,0,0,8,102,0,18,232,0,0,28,35,24,2,0,0,51,1,0,60,0,40,0,0,1
KCNJ15,0,0,14,40,186,35,6,118,0,0,135,234,50,0,0,1,36,1,76,1,14,0,0,0,0,206,0,0,0,0,0,0,0,94,0
KCNJ16,0,0,0,0,0,0,0,0,0,0,0,141,354,0,0,0,0,0,0,1,0,0,6,0,0,0,300,0,0,1,0,0,409,22,0
KCNJ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ2.AS1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KCNJ5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNK1,88,30,9,29,19,226,17,21,64,30,47,52,144,14,64,11,14,375,62,169,5,775,191,1317,189,106,20,59,0,76,188,94,420,40,53
KCNK10,0,0,0,0,0,0,0,0,0,0,0,0,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNK13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNK15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNK3,0,10,4,1,0,0,0,0,0,23,6,1,0,1,2,0,0,2,0,0,0,0,0,9,0,0,0,10,0,0,0,0,0,0,2
KCNK6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNK7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNK9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNMA1,120,72,75,39,7,7,27,286,52,159,85,108,671,49,144,20,83,3,18,31,77,267,241,12,68,259,12,143,1,108,91,245,128,41,32
KCNMA1.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,1,0
KCNMA1.AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNMA1.AS3,0,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
KCNMB2,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNMB2.AS1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KCNMB3,133,7,72,8,4,0,0,26,53,31,5,5,2,0,2,2,0,3,1,47,21,7,0,1,79,8,9,1,0,17,6,144,9,3,36
KCNMB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNN3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
KCNN4,17,10,0,8,9,0,0,0,0,16,15,0,3,1,9,0,2,8,0,0,0,0,0,0,0,11,1,0,0,0,12,0,55,1,0
KCNQ1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNQ1OT1,899,297,158,17,35,6,4,34,3,0,5,144,347,109,839,42,137,2138,0,135,0,1491,0,1745,41,1,8,976,1,0,2,9,224,104,131
KCNQ3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,20,0,0,0,0,7,2,0,69,0
KCNQ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNQ5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNQ5.IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNRG,0,0,0,0,0,0,0,0,0,0,31,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
KCNS1,0,26,0,0,7,0,0,0,75,0,50,0,0,0,2,84,0,0,0,0,5,0,0,0,11,224,0,0,0,1,0,9,0,57,1
KCNS3,169,48,56,5,6,0,11,1118,5,17,17,9,39,1,0,49,17,22,0,230,0,0,0,3,1,10,3,312,0,0,82,0,0,58,277
KCNT2,0,0,0,2,0,0,0,0,0,0,1,0,2,0,3,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,7
KCNV1,1,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,55,0,5,0,0,0,0,0,0,0
KCNV2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0
KCP,28,0,4,5,0,2,39,0,63,8,6,22,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,30,0,0,8,0,13,0,0
KCTD1,2,0,30,255,6,1,0,78,16,3,22,42,17,9,0,0,27,142,0,99,30,329,5,1,56,18,0,0,0,0,4,0,7,0,56
KCTD10,12,129,2,24,15,0,29,1,72,1,84,28,0,5,12,0,95,18,27,5,13,752,113,18,35,39,1,5,0,126,277,467,23,0,22
KCTD11,0,0,0,0,0,0,0,30,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,15
KCTD12,98,7,1,16,72,81,0,0,98,14,6,1,0,8,2,4,0,4,42,102,7,669,33,0,0,476,0,5,1,0,1,0,10,85,3
KCTD13,10,56,0,10,1,2,1,0,9,11,6,8,0,1,1,0,27,46,15,19,3,6,2,0,14,2,8,0,0,0,3,0,0,30,3
KCTD15,408,22,3,19,0,5,8,1,0,20,23,223,0,13,27,0,30,14,1,55,10,2,27,92,62,1,23,1,0,246,68,74,0,33,8
KCTD16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCTD17,0,0,1,0,0,0,0,34,2,1,0,0,232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
KCTD18,10,0,0,21,2,86,0,0,34,3,0,11,0,1,3,0,9,0,1,4,1,0,9,0,4,0,0,4,0,4,11,0,0,3,0
KCTD19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCTD2,6,0,0,63,0,0,0,6,38,2,17,6,0,1,3,0,2,117,0,129,2,6,0,0,2,0,0,0,0,9,3,37,83,0,3
KCTD20,0,154,0,37,15,20,70,14,1,685,12,4,3,76,99,7,75,53,0,1,246,43,140,1,50,187,0,7,0,346,1,68,138,15,3
KCTD21,0,5,0,108,1,29,0,0,0,0,8,0,0,0,29,1,20,0,0,0,7,0,49,0,0,532,0,0,0,1,2,0,0,0,0
KCTD21.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
KCTD3,272,131,29,283,97,970,750,142,156,218,200,126,569,188,226,86,438,81,472,513,19,882,248,1064,237,687,20,17,2,1009,214,689,19,215,85
KCTD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0
KCTD5,7,4,0,19,12,6,1,0,4,5,2,2,1,9,1,0,0,6,0,51,6,0,0,0,31,10,6,0,0,210,2,0,7,0,0
KCTD6,0,0,19,0,0,0,0,21,4,0,17,2,1117,9,52,1,53,0,1,20,16,0,0,0,0,5,0,2,0,536,21,0,245,0,6
KCTD7,3,15,9,0,0,61,137,46,1,18,3,0,1089,0,17,1,2,0,10,1,1,0,1,0,0,17,0,17,0,88,60,0,83,17,0
KCTD9,17,160,10,57,126,733,13,314,85,91,6,466,400,8,5,0,9,236,117,636,0,114,2,13,164,7,305,706,0,0,8,980,307,282,13
KDELC1,0,2,0,1,0,0,0,3,0,47,3,0,0,0,0,0,0,1,0,0,0,0,0,0,6,40,0,0,0,0,6,0,0,0,0
KDELC2,65,19,0,6,1,89,29,25,0,5,4,14,0,52,4,113,133,28,13,1,4,0,192,0,8,153,24,0,0,0,3,11,36,17,398
KDELR1,102,60,43,31,7,9,2,72,42,67,20,9,71,12,27,12,10,32,202,10,11,111,3,134,11,62,4,74,0,142,21,90,28,26,20
KDELR2,352,498,410,289,100,569,20,460,463,404,260,343,2302,126,164,78,791,480,533,818,59,80,320,162,1109,464,443,834,1,135,343,750,531,132,257
KDELR3,436,75,12,58,147,173,3,794,61,39,70,89,49,73,173,11,17,57,162,82,47,63,3,0,188,197,1,161,1,185,10,113,20,20,15
KDM1A,196,3,14,31,5,42,65,57,26,5,52,29,46,44,17,38,22,127,351,14,25,654,62,1,6,83,5,1,0,4,20,13,79,0,5
KDM1B,6,7,24,6,13,0,0,8,0,3,26,0,87,8,2,1,20,7,10,61,5,16,355,6,12,4,57,5,0,35,27,54,4,19,19
KDM2A,69,134,70,214,5,93,182,31,143,167,83,434,343,45,204,24,86,136,42,73,1,849,82,44,67,4,7,0,0,460,58,787,54,107,82
KDM2B,0,6,29,10,7,0,0,0,0,1,17,52,0,0,0,0,0,49,0,23,0,23,580,0,0,0,0,0,0,0,0,36,0,0,4
KDM3A,19,163,172,148,55,689,27,6,196,10,112,118,295,64,38,48,130,214,404,445,33,122,550,1397,47,41,506,84,1,164,11,48,415,625,88
KDM3B,15,49,41,31,28,90,162,253,155,26,147,30,277,10,3,1,6,31,10,670,12,1281,24,484,14,109,10,1,0,62,574,3,1,2,3
KDM4A,1,9,21,4,5,120,27,0,16,22,7,37,0,7,27,5,0,15,5,130,14,0,50,26,48,33,23,4,0,3,25,0,10,3,10
KDM4A.AS1,0,0,2,0,0,14,4,0,0,0,6,0,0,0,0,0,7,0,35,68,0,0,239,0,0,0,0,0,0,0,0,1,0,0,0
KDM4B,10,29,7,36,3,87,47,8,0,33,18,79,8,44,21,10,21,56,3,15,39,12,28,5,22,23,4,7,0,0,21,3,18,22,10
KDM4C,39,4,13,3,0,86,12,0,9,0,10,17,6,56,7,3,1,126,2,0,2,285,13,0,3,4,0,127,0,1,5,0,56,0,2
KDM4D,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
KDM5A,310,250,231,98,38,324,51,8,59,79,29,123,46,21,77,8,168,321,1396,12,37,1088,34,3398,70,35,13,1664,0,101,2,105,69,181,27
KDM5B,138,23,181,74,61,438,74,1752,105,32,101,551,632,62,40,20,98,221,94,163,71,55,82,266,135,118,21,5,2,121,22,26,300,180,25
KDM5C,28,13,11,21,1,10,22,36,3,8,1,311,64,3,3,4,29,19,0,22,8,0,55,4,7,7,12,0,0,49,4,1,26,24,1
KDM5D,209,2,28,16,3,206,172,292,30,64,15,1,60,7,9,10,26,39,1,69,9,627,0,33,36,0,62,0,0,0,0,12,113,148,3
KDM6A,133,78,5,7,63,1,94,0,17,26,66,119,4,20,6,1,0,89,192,2,7,683,116,78,38,1,239,2,0,118,3,1,4,10,10
KDM6B,23,18,2,20,5,0,16,73,7,0,3,5,0,0,3,1,11,7,0,4,8,4,37,0,15,1,0,1,0,2,19,1,8,0,1
KDM7A,3,165,5,32,7,53,5,174,106,2,20,17,1,15,0,1,4,50,1,739,13,1922,20,0,1,59,17,30,0,77,62,0,1,4,0
KDM8,0,0,0,0,2,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KDR,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KDSR,100,130,88,65,151,133,19,17,183,508,61,137,808,57,35,47,38,217,0,506,172,708,17,88,473,263,15,2,0,672,37,95,0,29,165
KEAP1,25,36,20,4,1,82,3,2,46,4,8,103,82,19,2,0,14,7,52,182,5,25,79,0,71,8,1,13,0,29,15,18,0,13,0
KERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGFLP1,0,0,0,0,0,0,0,0,3,6,0,0,4,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,3,0,0,22,0,0
KGFLP2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
KHDC1,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0
KHDC1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHDRBS1,2,142,5,97,80,68,79,178,23,150,96,91,391,88,292,129,248,4,4,234,28,269,186,931,146,344,43,0,1,131,184,191,1603,267,98
KHDRBS3,148,129,81,96,22,119,37,52,50,26,59,210,395,12,198,17,48,161,442,38,85,507,124,552,25,48,329,27,0,4,276,269,631,60,36
KHK,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
KHNYN,1,47,2,6,13,378,9,60,25,41,2,50,1924,17,3,0,52,11,14,0,11,6,312,0,29,13,2,1,1,1,13,0,5,97,0
KHSRP,10,0,27,18,1,13,21,12,8,17,13,12,19,8,8,1,6,25,21,56,2,51,27,2,14,2,3,1,1,1,8,21,0,5,5
KIAA0020,18,14,11,20,14,61,45,6,11,12,20,13,5,30,5,5,31,26,13,84,15,16,65,129,12,42,4,2,0,36,4,10,75,23,4
KIAA0040,141,13,4,22,0,19,0,0,3,0,7,25,1,8,150,4,197,11,38,49,0,19,1,0,1,57,0,159,1,0,24,0,0,1,40
KIAA0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA0100,49,14,58,10,0,0,43,0,1,50,4,39,189,18,46,6,4,4,2,152,28,2,4,0,12,2,0,43,0,6,15,5,97,16,2
KIAA0101,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,33,47,5,0,0,0,0,2,226,2,0,0,148,0,1,4,140,138,0,106
KIAA0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA0141,1,81,100,1,1,55,0,0,1,3,37,0,118,5,17,0,17,3,6,275,1,2,1,482,0,17,0,0,0,0,38,390,1,24,2
KIAA0195,0,1,13,2,0,0,4,0,0,25,3,0,0,0,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,11,10,0,9,0
KIAA0196,16,16,129,12,5,112,17,61,142,3,4,50,289,13,83,21,23,96,182,1,8,419,14,99,8,49,0,27,0,191,15,53,13,51,5
KIAA0226,0,135,434,150,62,254,110,44,170,249,141,0,1792,4,36,69,22,90,6,83,11,37,66,2,37,92,0,2,0,256,19,5,236,111,13
KIAA0226L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA0232,7,242,41,148,48,722,394,1710,12,156,219,263,2,56,7,43,43,122,1236,69,40,310,35,659,32,253,4,40,2,5,803,2,16,580,5
KIAA0319,146,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
KIAA0319L,38,78,8,3,23,80,91,19,6,114,28,200,1299,18,42,16,67,66,1,278,23,51,4,1,11,69,14,12,0,7,24,46,0,21,13
KIAA0355,129,44,84,93,8,3,43,0,3,58,42,20,0,7,38,9,15,222,60,22,6,188,66,0,4,42,0,0,0,11,6,92,1,15,36
KIAA0368,79,105,83,58,19,119,27,149,188,169,45,170,10,105,74,54,73,27,0,124,12,23,55,12,87,114,119,3,0,155,15,207,50,90,82
KIAA0391,0,23,0,2,0,1,0,1,61,0,28,10,0,0,0,18,23,27,268,0,0,22,0,1,0,37,0,74,0,0,0,0,0,2,0
KIAA0408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA0430,1,19,34,73,10,888,53,0,47,29,8,6,48,6,10,33,205,269,477,13,116,1524,61,669,54,0,23,0,0,121,48,10,17,24,0
KIAA0513,0,18,0,1,0,0,6,0,0,0,0,11,0,0,54,0,0,0,0,0,0,0,0,1,0,57,1,8,0,0,0,0,0,1,5
KIAA0556,1,0,151,4,0,0,8,0,13,78,0,28,2,0,1,8,11,6,20,7,9,0,0,0,0,9,18,0,1,0,2,0,1,0,1
KIAA0586,0,0,0,7,0,0,0,3,2,3,2,0,0,0,1,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
KIAA0753,9,4,20,28,0,0,1,0,107,15,36,0,5,11,0,0,2,0,89,199,34,55,16,24,0,2,0,1,0,254,6,0,668,0,20
KIAA0754,1,260,1,8,0,0,80,0,0,0,98,291,2,14,36,0,0,1,1,810,155,1029,0,0,4,0,4,0,0,340,396,0,2,0,148
KIAA0825,1,12,0,1,0,1,0,0,1,0,1,4,12,0,132,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA0895,81,225,1,3,0,51,7,0,0,28,20,11,0,56,9,0,0,98,0,43,6,0,12,0,22,4,100,0,0,111,4,0,209,0,7
KIAA0895L,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
KIAA0907,0,27,161,15,30,314,0,0,42,15,86,105,4,14,22,7,51,318,25,61,44,108,33,205,174,2,0,0,1,310,17,0,833,145,63
KIAA0922,121,28,43,0,1,15,18,0,0,11,2,0,0,1,0,3,0,0,0,0,0,0,0,0,3,62,0,0,0,0,0,0,0,3,0
KIAA0930,22,36,10,11,12,1,7,1171,146,10,4,7,7,18,12,25,4,14,15,32,15,0,0,0,33,42,0,54,0,17,8,1,7,61,14
KIAA1024,0,0,8,48,12,0,1,0,0,2,18,0,0,0,26,3,0,0,0,101,3,0,0,2,8,0,0,6,0,0,1,0,57,0,0
KIAA1033,248,100,110,124,37,600,137,102,80,83,91,352,1082,54,30,23,142,62,259,59,67,420,518,38,173,139,1,24,0,587,1237,62,82,281,33
KIAA1107,0,8,62,19,1,67,0,0,0,0,2,0,0,2,8,0,2,0,0,42,37,397,0,0,13,8,0,0,0,0,208,0,1,24,0
KIAA1109,73,41,6,91,29,318,16,251,111,205,62,33,1416,36,88,14,70,99,593,36,139,196,133,202,41,118,171,3,0,949,33,22,31,121,46
KIAA1143,74,31,3,65,4,159,70,66,11,50,38,57,59,22,75,3,10,11,33,96,14,54,5,56,37,58,64,422,0,68,5,318,23,5,26
KIAA1147,4,27,16,98,14,61,57,0,77,60,67,147,110,129,12,73,418,107,310,39,4,23,86,0,43,18,12,62,0,57,201,7,8,61,5
KIAA1161,229,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,464,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
KIAA1191,80,7,115,101,136,54,467,18,36,373,15,174,380,80,73,13,147,39,232,1172,48,1370,643,17,116,254,194,0,1,0,550,877,327,260,14
KIAA1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
KIAA1211L,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1217,820,476,141,82,88,413,174,242,638,329,264,590,1331,166,349,98,617,724,2358,568,281,1718,742,3815,238,701,59,727,0,1697,463,188,1339,339,179
KIAA1279,41,263,105,549,4,893,58,311,206,18,48,104,1115,112,207,140,581,224,16,27,13,1267,8,30,189,634,98,5,0,721,166,0,205,202,23
KIAA1324,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,186,0,0,0,1,0,0,2,0,0,0,0
KIAA1324L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1328,0,0,0,0,0,0,0,0,4,0,1,2,52,0,4,0,2,19,0,671,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
KIAA1407,0,7,11,66,14,0,1,13,70,18,4,0,27,4,12,32,244,17,2,11,162,14,0,175,0,8,0,0,0,6,2,1,2,28,1
KIAA1429,20,61,55,32,45,128,23,86,75,78,53,41,197,9,37,13,160,30,40,58,27,22,8,118,6,153,44,0,1,8,17,2,298,29,9
KIAA1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1462,277,250,34,99,30,106,478,82,447,184,145,369,3833,129,139,46,298,238,1330,250,81,170,426,1352,14,489,3130,453,1,3,651,366,1119,244,117
KIAA1467,0,1,10,0,0,0,0,0,0,0,0,0,1,4,1,1,0,195,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
KIAA1468,248,108,23,4,35,526,29,331,100,2,2,39,13,16,2,10,93,0,1692,12,32,317,16,7,31,0,3,0,0,149,0,28,88,119,17
KIAA1522,288,92,29,77,7,31,7,104,12,63,20,247,14,26,15,1,19,191,92,309,5,158,13,82,29,94,5,31,0,30,91,53,45,77,16
KIAA1524,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,37,0,4,1,3,0,0,0,0,0,0,0,1,0,0,1,0,2,5,0
KIAA1549,9,7,7,7,0,0,2,0,3,2,22,0,454,26,0,1,0,0,0,0,0,5,2,0,0,0,30,193,0,0,0,0,0,7,0
KIAA1549L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
