Gene,Pt_mRCC_SC_90,Pt_mRCC_SC_1,Pt_mRCC_SC_23,Pt_mRCC_SC_93,Pt_mRCC_SC_39,Pt_mRCC_SC_84,Pt_mRCC_SC_75,Pt_mRCC_SC_79,Pt_mRCC_SC_12,Pt_mRCC_SC_24,Pt_mRCC_SC_36,Pt_mRCC_SC_85,Pt_mRCC_SC_33,Pt_mRCC_SC_81,Pt_mRCC_SC_87,Pt_mRCC_SC_59,Pt_mRCC_SC_56,Pt_mRCC_SC_64,Pt_mRCC_SC_17,Pt_mRCC_SC_43,Pt_mRCC_SC_92,Pt_mRCC_SC_30,Pt_mRCC_SC_57,Pt_mRCC_SC_53,Pt_mRCC_SC_61,Pt_mRCC_SC_11,Pt_mRCC_SC_21,Pt_mRCC_SC_71,Pt_mRCC_SC_5,Pt_mRCC_SC_3,Pt_mRCC_SC_86,Pt_mRCC_SC_69,Pt_mRCC_SC_58,Pt_mRCC_SC_88,Pt_mRCC_SC_10
GMEB1,0,0,0,17,13,3,3,16,0,6,1,4,0,1,25,4,1,0,0,30,19,0,0,7,79,0,0,2,0,0,9,2,6,1,0
GMEB2,0,1,0,0,2,0,0,0,16,2,14,38,296,1,8,0,19,3,58,80,10,0,1,0,0,0,2,0,0,37,1,0,0,0,0
GMFB,15,39,38,160,17,549,126,101,245,808,180,740,1631,68,98,0,569,43,141,620,15,2432,169,1650,132,885,1,814,1,957,121,141,182,654,5
GMFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMIP,0,0,0,7,5,12,0,0,35,23,1,0,262,5,95,0,33,3,10,0,3,0,0,0,3,0,0,0,0,0,0,0,0,16,0
GMNN,0,33,0,0,4,6,15,210,3,0,34,79,8,6,13,10,0,0,0,0,0,4,0,0,2,1,0,5,0,0,0,0,15,0,18
GMPPA,18,25,7,12,0,50,1,112,0,12,10,1,50,14,33,22,86,6,0,227,22,2,13,0,17,22,0,4,0,0,26,17,10,1,0
GMPPB,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,63,0,0,0,0,5,50,1,5,0,0,0,0,7,0,9
GMPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMPR2,0,15,0,0,15,1,1,1414,186,200,3,1,279,2,4,1,7,0,1,78,38,0,8,1,0,73,33,0,0,19,12,0,0,1,5
GMPS,1,10,5,13,8,84,6,3,17,24,3,12,54,4,113,1,40,1,28,11,3,44,6,23,74,35,4,10,0,2,2,31,5,7,7
GNA11,6,7,2,19,4,9,3,48,1,1,2,8,4,1,6,15,3,2,0,3,7,42,20,2,13,3,0,2,0,7,0,78,8,11,17
GNA12,22,19,21,57,9,51,36,36,52,18,43,40,52,5,56,7,7,58,395,97,33,475,179,8,147,124,9,4,0,71,21,13,13,40,16
GNA13,124,211,53,42,212,535,80,0,357,39,139,94,36,8,420,135,112,451,45,140,54,4649,184,0,27,307,853,327,0,651,15,1427,43,69,27
GNA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNA14.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNAI1,2840,167,376,209,91,101,328,30,234,215,203,356,0,156,225,36,49,410,635,789,7,1340,751,189,83,180,44,130,0,29,267,1130,857,230,50
GNAI2,230,47,17,42,5,89,11,42,108,92,42,105,460,10,54,28,25,3,64,84,13,85,79,2,74,40,122,124,0,668,124,351,77,62,17
GNAI3,256,542,421,201,115,1325,590,135,534,138,161,246,690,191,53,244,405,873,538,1199,45,787,690,1766,360,661,172,63,0,1105,543,1449,1880,497,76
GNAL,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,0,91,1
