Gene,PDX_mRCC_SC_1,PDX_mRCC_SC_79,PDX_mRCC_SC_4,PDX_mRCC_SC_87,PDX_mRCC_SC_34,PDX_mRCC_SC_89,PDX_mRCC_SC_69,PDX_mRCC_SC_20,PDX_mRCC_SC_61,PDX_mRCC_SC_5,PDX_mRCC_SC_68,PDX_mRCC_SC_56,PDX_mRCC_SC_3,PDX_mRCC_SC_44,PDX_mRCC_SC_92,PDX_mRCC_SC_63,PDX_mRCC_SC_12,PDX_mRCC_SC_52,PDX_mRCC_SC_70,PDX_mRCC_SC_88,PDX_mRCC_SC_77,PDX_mRCC_SC_90,PDX_mRCC_SC_60,PDX_mRCC_SC_81,PDX_mRCC_SC_95,PDX_mRCC_SC_93,PDX_mRCC_SC_41,PDX_mRCC_SC_80,PDX_mRCC_SC_6,PDX_mRCC_SC_64,PDX_mRCC_SC_15,PDX_mRCC_SC_14,PDX_mRCC_SC_8,PDX_mRCC_SC_94,PDX_mRCC_SC_21,PDX_mRCC_SC_86
MOB3B,38,0,0,5,32,110,1,50,0,6,22,0,4,10,0,0,2,12,35,0,23,1,0,0,0,0,0,55,2,0,1,0,3,0,68,0
MOB3C,0,0,160,1,1,0,0,1,0,0,970,0,0,11,0,0,0,14,4,0,0,0,0,1,1,0,0,0,0,0,20,0,1,0,0,32
MOB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MOBP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MOCOS,0,0,0,0,63,1,0,5,0,0,9,3,3,0,0,0,0,2,3,0,0,0,0,0,0,0,12,0,52,0,2,0,0,0,13,0
MOCS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOCS2,51,6,80,1,60,30,66,1,0,4,0,10,2,3,19,0,5,8,6,18,0,0,0,45,0,24,72,63,0,0,2,6,0,5,0,5
MOCS3,149,4,0,19,4,98,6,5,59,0,0,7,0,62,14,0,40,10,12,573,46,38,1,21,0,3,41,8,86,0,67,0,0,0,0,163
MOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOGAT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOGAT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOGS,110,2,83,28,2,0,13,0,0,0,0,0,0,0,0,0,1,9,0,0,8,5,1,2,0,0,0,3,3,0,18,3,0,0,1,6
MOK,118,29,12,77,59,33,279,24,16,9,176,168,265,12,28,243,65,138,49,61,99,1,7,77,110,13,36,5,21,120,7,23,297,114,7,18
MON1A,0,0,17,0,27,6,10,60,1,0,0,50,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0
MON1B,1,0,0,0,2,2,221,7,0,106,11,7,1,1,0,0,232,0,133,0,4,0,0,0,0,5,10,0,1,75,7,0,0,672,0,149
MON2,223,57,83,10,99,84,62,174,73,15,21,40,36,66,24,1,16,36,75,1743,3,0,3,64,74,53,83,306,8,0,46,4,17,0,4,47
MORC1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MORC2,97,1,0,0,0,18,0,39,1,1,0,14,0,0,0,2,0,3,112,4,0,0,0,6,0,2,6,89,0,0,9,0,0,0,0,0
MORC2.AS1,0,0,0,0,0,3,103,229,0,1,4,0,0,16,0,244,0,163,15,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
MORC3,0,212,179,200,10,92,48,453,357,16,0,282,14,15,66,9,301,36,155,11,7,3,11,112,57,32,13,72,73,1,21,54,42,9,3,73
MORC4,698,18,410,0,236,83,279,270,3,151,48,11,6,57,113,557,623,83,108,10,64,0,2,264,176,57,183,1016,715,1,10,26,45,71,298,316
MORF4L1,1260,768,1893,1504,1457,1090,1387,4137,1094,692,1879,397,887,506,759,810,513,1181,1641,1784,3385,1811,1055,332,273,854,942,1452,620,604,585,1206,999,1342,931,1204
MORF4L2,1148,724,1035,2282,579,679,3850,1795,3707,2187,266,415,65,279,1832,127,619,1318,4065,3996,1101,5,73,337,456,370,728,2486,603,182,354,1284,660,2612,312,1658
MORF4L2.AS1,0,0,134,0,0,0,1,0,6,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORN1,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,13
MORN2,9,0,0,22,24,20,11,33,53,0,0,56,18,2,8,0,18,9,48,54,5,0,0,0,2,8,11,0,0,44,8,0,0,1,0,6
MORN4,1,50,8,60,0,84,1,0,9,0,5,0,0,17,0,1,0,4,4,1,0,6,2,183,4,7,13,36,0,0,6,2,0,12,1,170
MORN5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
MOSPD1,3,1,76,738,403,35,167,3,171,189,19,104,33,41,2,1,17,87,823,227,5,0,0,23,9,44,27,32,546,34,169,844,1,6,0,5
MOSPD2,39,4,24,20,0,60,134,2,0,0,143,0,14,5,1,543,0,135,171,0,0,0,0,178,207,0,27,26,0,0,5,0,0,1,0,53
MOSPD3,0,0,0,82,0,6,1,0,0,0,0,0,0,1,2,0,12,15,0,0,109,0,2,0,0,2,0,0,0,2,4,28,0,0,0,1
MOV10,45,0,46,1,10,17,0,17,11,0,0,19,76,1,0,0,2,23,10,5,0,1,1,0,10,7,6,0,8,0,3,1,1,0,1,46
MOV10L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOXD1,0,279,77,15,31,16,3,136,60,0,742,3,1,33,3,8,8,3,241,0,779,0,37,94,14,24,13,501,57,603,8,2,0,3,25,115
MPC1,0,0,0,0,0,2,29,39,16,145,0,0,0,3,0,12,0,20,13,0,0,0,0,10,1,17,0,1,1,0,28,14,0,1,33,1
MPC2,46,17,28,173,54,39,85,65,296,169,61,162,52,46,30,13,0,58,119,71,186,45,1,3,166,26,86,192,47,7,9,3,35,174,1,101
MPDU1,2,1,0,0,7,3,3,7,0,221,0,0,0,3,11,1,0,17,31,0,0,3,0,0,0,3,8,1,1,0,6,0,0,1,0,0
MPDZ,0,16,5,45,6,33,0,0,435,1,1,5,3,8,0,98,206,42,0,83,0,28,11,45,0,69,5,153,2,6,16,67,10,0,4,12
MPEG1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPG,15,0,5,0,0,12,21,3,1,73,0,25,1,3,3,0,0,9,2,9,7,16,0,0,3,4,31,0,29,0,5,47,0,0,0,2
MPHOSPH10,366,162,286,24,98,189,202,127,242,217,0,152,76,43,83,9,447,109,573,634,295,305,477,71,15,122,56,319,10,100,76,38,8,253,423,55
MPHOSPH6,29,3,118,140,15,98,58,21,30,156,32,0,6,41,36,338,27,62,19,70,15,2,0,1,9,23,3,174,6,469,14,6,0,8,406,158
MPHOSPH8,15,49,3,14,242,26,35,19,4,0,3,61,7,19,32,0,10,12,148,15,42,5,71,0,0,45,7,327,21,11,21,3,1,52,10,3
MPHOSPH9,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
MPI,0,0,0,0,0,3,0,6,2,138,0,0,0,14,0,6,3,0,2,0,2,0,0,0,48,23,0,134,0,0,1,0,2,0,0,0
MPL,0,0,0,0,70,3,0,2,0,0,0,0,0,2,0,0,0,93,0,0,0,0,160,1,0,0,0,5,0,0,0,0,0,0,6,0
MPLKIP,8,0,13,1,12,17,507,156,387,56,0,9,10,46,63,11,7,14,48,1,1,0,22,146,12,80,1,63,145,6,46,60,18,276,0,560
MPND,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,32,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,3,0
MPP1,0,0,18,1,98,1,62,183,0,1,0,66,0,1,90,0,0,178,50,269,0,1,1,1,9,3,0,0,0,0,9,0,1,0,11,0
MPP2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0
MPP3,0,0,0,0,0,19,10,0,0,0,0,0,1,0,0,0,2,0,53,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,1,0
MPP4,0,5,0,1,0,0,0,0,0,0,38,0,0,2,72,33,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0
MPP5,0,175,340,20,20,96,504,14,161,23,437,2,1,9,418,34,191,69,90,1102,44,0,10,0,8,8,641,5,427,23,1,2,13,1,1,79
MPP6,437,4,1,1,22,351,22,72,407,0,53,7,4,19,81,2,12,320,92,368,57,5,1611,56,2,13,0,53,2,5,52,0,294,47,29,0
MPP7,0,30,0,0,16,0,0,0,150,0,0,0,0,2,0,0,0,0,54,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MPPE1,16,0,13,0,0,3,3,15,1,0,0,0,0,0,1,3,0,1,0,0,0,1,0,3,0,0,0,0,5,0,0,1,7,1,0,0
MPPED2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
MPRIP,2,129,9,4,24,64,79,1,0,0,1,10,1,13,13,8,0,1,434,0,0,2,46,5,0,18,4,61,4,1,57,1,0,10,0,3
MPST,0,0,0,0,0,16,1,2,0,6,0,0,0,0,0,0,0,0,15,0,0,0,5,1,0,0,0,1,1,1,0,0,0,0,0,0
MPV17,11,112,218,4,13,29,15,85,1,187,26,248,0,23,63,404,6,1,149,0,20,42,15,8,145,30,0,1,0,1,43,0,4,0,1,220
MPV17L,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,19,0,0,0,0,0,0
MPV17L2,237,0,13,0,38,21,0,0,0,350,0,0,153,11,0,0,0,22,0,0,0,0,16,0,0,7,12,2,0,0,5,0,72,0,297,0
MPZ,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPZL1,61,32,103,148,758,260,746,795,928,13,377,416,224,151,75,649,81,473,542,0,68,737,198,127,87,91,235,53,71,36,119,11,2,9,3,193
MPZL2,82,2,7,16,0,22,5,41,0,0,2,10,59,1,41,4,107,0,1,1,0,0,1,11,12,0,1,0,0,4,0,198,1,0,0,176
MPZL3,2,1,10,416,0,51,80,175,21,10,2,1,39,1,1,0,46,119,1,1,0,0,1,0,0,51,3,0,18,0,0,4,64,0,2,1
MR1,3,0,0,0,0,21,21,13,0,0,0,0,0,12,6,75,0,0,0,428,0,0,0,2,0,36,0,111,67,0,23,0,0,0,0,98
MRAS,0,79,1,0,18,57,124,475,1,188,153,0,1389,29,0,163,31,0,345,0,0,0,5,1,0,0,33,420,0,8,60,0,1,5,0,0
MRC1,0,0,0,0,0,0,0,0,0,3,57,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,94,0,0,0,0,1,0,0,0
MRC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
MRE11A,0,0,0,0,21,1,0,1,1,0,10,5,1084,227,0,0,0,1,0,167,0,0,0,0,0,1,57,54,0,0,2,0,0,0,0,39
MREG,0,411,0,0,0,22,0,1,70,17,3,17,4,0,0,0,1,9,5,0,4,0,1,128,1,2,34,3,0,0,0,159,0,0,0,56
MRFAP1,387,288,835,7,639,293,445,324,1639,707,110,887,71,198,326,341,570,570,335,53,312,172,1029,467,123,235,974,913,808,248,145,1404,292,322,759,847
MRFAP1L1,14,1,313,26,266,54,525,150,856,30,0,140,170,90,4,0,113,297,266,95,15,33,0,233,0,88,5,1,24,0,15,52,14,40,3,79
MRGBP,1,0,0,60,132,15,10,5,126,1,626,18,0,5,94,0,0,29,7,12,0,0,38,0,0,10,0,7,44,0,6,0,0,0,53,0
MRGPRX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
