Gene,PDX_mRCC_SC_1,PDX_mRCC_SC_79,PDX_mRCC_SC_4,PDX_mRCC_SC_87,PDX_mRCC_SC_34,PDX_mRCC_SC_89,PDX_mRCC_SC_69,PDX_mRCC_SC_20,PDX_mRCC_SC_61,PDX_mRCC_SC_5,PDX_mRCC_SC_68,PDX_mRCC_SC_56,PDX_mRCC_SC_3,PDX_mRCC_SC_44,PDX_mRCC_SC_92,PDX_mRCC_SC_63,PDX_mRCC_SC_12,PDX_mRCC_SC_52,PDX_mRCC_SC_70,PDX_mRCC_SC_88,PDX_mRCC_SC_77,PDX_mRCC_SC_90,PDX_mRCC_SC_60,PDX_mRCC_SC_81,PDX_mRCC_SC_95,PDX_mRCC_SC_93,PDX_mRCC_SC_41,PDX_mRCC_SC_80,PDX_mRCC_SC_6,PDX_mRCC_SC_64,PDX_mRCC_SC_15,PDX_mRCC_SC_14,PDX_mRCC_SC_8,PDX_mRCC_SC_94,PDX_mRCC_SC_21,PDX_mRCC_SC_86
FBXO17,66,37,142,145,134,7,9,16,10,1,13,28,29,22,0,50,26,43,33,1,58,1,9,0,0,4,2,0,9,1,2,155,38,58,0,2
FBXO18,1,7,63,0,27,38,29,28,1,199,13,191,3,5,0,42,19,36,3,51,4,0,95,0,0,1,51,65,0,4,6,51,1,52,0,0
FBXO2,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,2,8,0,44,0,0,0,0,0,0,0
FBXO21,686,0,1,5,1,87,90,5,0,0,0,0,2,33,23,0,1,35,355,838,6,0,0,0,24,64,12,14,1,0,0,63,2,0,98,196
FBXO22,2,0,158,0,42,14,253,26,54,4,1,12,5,73,1,6,5,66,369,1,0,0,11,20,1,4,14,31,29,43,95,1,4,41,1,3
FBXO24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
FBXO25,1,0,0,0,0,1,0,2,1,0,0,0,0,0,18,87,0,8,0,0,0,0,0,0,0,0,9,0,0,1,3,0,0,0,0,0
FBXO27,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBXO28,47,493,264,2,3,429,243,6,262,53,13,40,0,60,299,628,158,121,1170,407,138,29,47,177,122,42,12,990,679,9,9,8,1933,67,532,369
FBXO3,1,0,0,114,4,8,0,131,11,0,0,0,0,5,0,0,0,22,3,22,0,3,0,0,0,2,0,0,6,22,10,1,0,2,0,1
FBXO30,0,3,0,6,51,47,0,0,0,0,0,2,0,40,0,0,55,0,23,15,0,2138,0,0,2,0,0,119,0,0,103,1,0,0,0,20
FBXO31,0,7,0,158,2,2,7,36,0,10,0,5,0,2,0,0,16,0,359,7,0,0,0,0,0,0,0,129,0,0,2,2,0,0,6,0
FBXO32,221,47,279,74,284,272,1129,100,0,200,53,259,19,6,84,426,72,7,38,29,17,0,802,68,0,49,10,51,0,7,161,5,12,28,0,33
FBXO33,89,0,0,4,4,53,0,52,0,0,1,79,0,7,0,0,0,6,235,8,12,0,0,1,5,4,0,120,9,1,21,0,0,0,0,0
FBXO34,1,0,0,0,0,15,0,11,0,0,0,0,0,11,0,0,0,32,54,0,0,0,0,0,0,0,0,292,0,0,1,0,0,9,0,0
FBXO36,0,0,1,0,0,0,0,0,7,0,1,2,0,0,1,15,0,3,0,0,0,0,310,6,1,0,0,0,0,17,190,2,0,0,0,22
FBXO38,0,0,2,25,68,25,75,21,76,34,1,0,6,23,66,1,0,2,17,24,0,4,1,10,0,10,37,40,170,1,13,0,1,0,3,2
FBXO4,0,0,28,13,6,13,6,0,0,0,0,0,0,1,51,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,2
FBXO40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FBXO41,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO42,4,2,27,1,51,245,264,0,177,4,39,17,9,12,79,18,0,87,330,169,36,1,21,145,1,20,2,0,2,11,0,1,2,10,312,510
FBXO43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO44,1,0,25,5,2,7,0,3,0,0,0,5,1,0,14,2,0,20,7,0,0,0,8,1,0,0,2,77,0,23,20,0,2,32,3,0
FBXO45,48,14,757,718,6,75,245,541,907,4,69,213,66,28,484,146,141,102,80,247,239,0,320,10,0,109,34,74,343,234,123,58,752,68,9,219
FBXO46,81,1,0,15,1,2,13,33,0,0,0,0,194,5,10,1,1,0,10,0,2,0,0,0,0,2,3,2,0,0,0,0,0,2,1,8
FBXO47,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO48,0,0,0,0,0,6,0,0,0,0,0,194,0,0,0,2,0,0,179,0,0,0,0,0,0,0,0,4,0,0,5,0,0,6,0,0
FBXO5,0,0,0,0,0,0,0,0,0,0,2,620,0,12,0,1,0,2,0,0,141,0,0,1,0,0,63,0,0,0,0,1,0,0,0,0
FBXO6,171,0,2,48,2,17,352,0,34,215,0,0,0,1,0,10,18,41,2,1,2,0,14,0,0,1,45,0,0,0,9,0,0,0,0,0
FBXO7,337,373,85,83,102,46,32,30,228,209,243,432,0,21,54,18,9,14,100,542,230,0,16,29,10,42,0,213,0,4,65,196,23,111,1,252
FBXO8,58,2,160,164,1,38,95,226,0,56,0,0,94,23,53,0,2,0,35,58,323,0,820,0,0,17,4,0,1,3,0,1,0,6,0,116
FBXO9,13,7,3,0,4,2,10,4,0,36,2,1,5,11,2,17,0,3,3,9,0,0,4,0,0,5,0,0,15,0,3,0,3,0,0,24
FBXW10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
FBXW11,7,10,15,0,86,23,147,11,0,128,0,28,105,9,52,31,3,1,52,151,2,3,2,229,0,38,53,35,0,0,0,0,46,81,0,89
FBXW12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXW2,8,17,1,0,6,14,5,17,355,0,6,6,1,37,12,0,0,91,7,0,8,0,0,32,0,44,27,0,90,0,4,0,0,0,0,0
FBXW4,76,0,0,10,76,17,122,15,6,0,0,4,9,2,0,0,4,115,2,16,43,1200,5,3,0,0,0,3,34,0,0,0,0,88,0,217
FBXW4P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
FBXW5,0,0,0,1,1,5,8,7,0,1,19,27,0,3,0,10,0,32,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0
FBXW7,274,34,146,0,0,294,1385,11,45,2,728,549,0,78,454,34,57,50,568,13,46,174,1,487,26,69,444,48,455,104,70,14,2,398,4,389
FBXW8,0,0,0,0,0,21,3,0,0,3,109,0,0,15,1,0,0,0,9,0,0,0,0,1,17,4,169,0,105,0,0,0,0,375,0,1
FBXW9,0,0,0,0,0,0,1,8,110,73,0,0,6,0,2,24,0,0,0,16,0,0,0,0,0,0,0,190,0,0,1,0,1,0,0,0
FCAMR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCAR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCER1G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
FCF1,0,3,43,2,5,5,17,10,14,0,90,0,2,21,46,93,4,6,109,229,6,0,0,0,11,7,3,13,0,10,0,82,5,9,1,50
FCGBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0
FCGR1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCGR1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCGR1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCGR2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCGR2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCGR2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCGRT,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
FCHO1,11,0,0,0,0,0,0,4,0,13,21,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
FCHO2,325,93,0,28,122,11,0,44,0,5,0,1,7,10,182,0,3,191,3,22,0,8,2,0,0,0,0,4,1,0,5,522,6,0,3,0
FCHSD1,0,0,0,0,0,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
FCHSD2,0,113,0,0,84,0,0,191,0,0,29,41,62,4,36,8,0,86,0,0,213,0,0,0,0,10,0,11,0,7,129,3,0,0,0,0
FCMR,0,0,0,430,0,33,132,0,0,30,287,0,0,1,0,0,0,0,1,300,535,0,0,3,8,0,0,0,0,0,0,0,0,21,0,0
FCN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCRL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCRL3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCRL4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCRL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
FCRLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCRLB,0,0,0,0,0,1,20,0,0,0,5,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FDFT1,1,0,98,21,42,2,1,683,0,0,2,0,1,5,96,1,0,140,74,1,0,0,2,0,2,0,38,0,0,1,1,0,1,16,0,1
FDPS,2,20,0,29,0,6,2,35,0,0,29,5,1,12,0,0,0,44,12,4,16,1,17,0,0,3,12,0,0,0,7,0,0,24,150,8
FDPSP2,1,7,165,0,4,17,5,364,0,0,0,15,0,6,0,2,0,39,12,0,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
FDX1,68,5,2,0,3,42,61,0,57,0,0,9,4,20,58,18,81,3,10,0,0,0,1,128,0,1,2,0,52,0,64,188,16,10,0,3
FDX1L,2,0,81,0,0,14,44,0,9,238,0,39,193,4,0,9,10,20,14,4,8,2,0,0,0,4,1,54,0,3,9,52,0,10,0,0
FDXACB1,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,40,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0
FDXR,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0
FECH,715,0,0,1,13,33,0,222,0,1,748,0,0,12,1,52,1,130,31,1,0,0,1,3,0,22,0,0,24,0,0,37,3,0,3,35
FEM1A,8,0,0,0,128,24,2,464,408,5,10,12,119,12,0,10,43,201,44,1,54,0,18,1,68,31,1,15,167,57,31,207,1,0,1,49
FEM1B,323,3,622,129,189,121,135,536,0,122,81,41,7,173,622,24,599,75,61,0,646,9,11,532,36,250,22,480,5,49,229,349,2,888,7,332
FEM1C,566,117,172,7,17,287,2798,150,23,1717,77,49,6,10,30,15,81,2,1139,69,69,7,27,429,0,52,63,717,170,0,6,103,650,139,64,100
FEN1,296,2,56,0,2,9,36,156,129,0,1,57,0,3,1,0,3,128,10,0,12,30,1,5,15,2,7,0,0,612,11,25,0,7,1,0
FENDRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FER,4,0,0,9,116,107,994,3,91,370,842,4,22,18,295,0,1,59,328,33,7,31,0,78,0,33,7,510,4,1,58,0,441,34,0,78
FER1L4,50,0,0,3,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,1
FER1L5,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FER1L6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
FER1L6.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
FERMT1,76,50,102,5,63,87,0,102,0,2,0,3,1,3,27,1,0,8,18,0,173,0,0,0,1,1,2,11,0,0,29,0,0,64,2,0
FERMT2,198,27,11,1,106,47,21,777,594,79,67,2,57,18,273,40,514,56,286,15,115,78,15,0,40,88,17,1,125,785,141,329,1019,148,5,491
FERMT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
FETUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEZ1,24,5,67,6,42,41,65,7,0,1,0,8,9,37,1,89,0,2,8,362,141,15,0,0,1,2,1,0,2,87,9,3,66,6,0,92
FEZ2,0,2,296,0,6,81,0,231,0,0,53,92,8,16,0,0,10,0,22,17,11,0,0,0,3,14,79,0,14,0,10,0,1,59,0,0
FFAR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGD1,113,6,2,260,1,12,8,6,0,0,0,2,0,4,2,0,3,0,132,2,0,0,0,1,1,0,3,16,18,0,14,0,0,19,0,68
FGD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
FGD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGD4,188,0,292,0,5,9,192,1,1246,0,0,32,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,1,0
FGD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGD5.AS1,676,108,214,104,456,203,383,1267,21,0,0,61,1,77,21,0,5,164,338,21,28,29,328,53,126,59,1,413,19,61,110,48,3,120,3,76
FGD5P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FGD6,8,37,117,140,165,71,168,100,4,3,6,70,13,7,86,0,2,179,273,215,0,44,142,86,8,20,2,19,4,1,36,2,361,19,181,193
FGF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,1,0,0,0,0,145,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
FGF12,0,0,0,0,1,0,5,0,0,11,6,75,2,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
FGF13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF14,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF14.AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
FGF14.IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF18,0,36,12,1,0,6,0,0,80,0,0,1,0,1,0,0,9,1,7,2,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,2
FGF2,1731,135,865,1575,288,213,398,828,1069,82,7,406,37,251,292,76,37,1169,838,95,79,328,122,225,6,54,14,26,58,0,149,209,28,703,1369,318
FGF23,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF5,9,1,139,1287,1059,256,1103,332,158,720,0,136,4,109,298,33,86,361,936,18,401,456,14,136,3,29,237,530,93,101,524,5,2,788,2,345
FGF7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0
FGF8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
FGF9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,0,0
FGFBP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGFR1,0,0,0,0,0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGFR1OP,6,0,0,5,15,57,8,3,70,0,0,80,0,0,0,87,0,10,14,18,0,3,0,0,0,0,0,0,0,0,0,143,0,0,27,127
FGFR1OP2,3,6,609,488,77,138,380,227,117,205,327,381,17,47,35,23,179,4,191,49,69,13,111,8,63,57,1011,127,526,150,77,138,11,385,17,147
FGFR2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGFR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
FGFR4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
FGFRL1,0,0,7,77,8,7,20,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,6,0,0,0,1,69
FGG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGGY,0,0,0,32,3,37,0,1,0,0,0,0,0,0,0,0,0,18,31,0,0,0,2,0,0,0,0,81,2,0,0,0,0,0,0,17
FGL1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,1,0
FGL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0
FH,56,0,0,39,18,18,14,13,2,5,75,39,0,10,4,30,2,10,57,1,39,0,48,10,2,4,70,82,6,3,22,12,229,1,0,0
FHAD1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHDC1,0,0,0,0,0,24,44,0,11,1,0,0,0,0,0,0,0,0,3,49,0,0,0,1,0,12,0,0,1,0,1,4,2,0,0,0
FHIT,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,2,0
FHL1,0,12,0,0,0,3,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,338,0,0
FHL2,469,186,378,194,99,281,245,249,672,131,340,460,170,76,280,53,151,367,1160,451,597,395,27,159,68,156,353,23,184,105,268,7,16,470,411,95
FHL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHOD1,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,85,0,0,7,0,0,0,0,0
FHOD3,0,0,1,0,9,17,0,0,0,0,22,0,0,0,0,25,0,20,7,0,0,0,0,31,1,0,0,49,0,0,0,0,5,13,0,0
FIBCD1,0,0,34,4,0,6,20,0,10,5,0,0,17,1,0,40,6,8,10,0,13,47,0,0,5,5,0,9,0,0,1,0,49,1,7,0
FIBIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FIBP,35,1,0,9,15,17,3,0,26,0,10,1,75,5,5,8,1,59,70,0,404,0,102,1,5,1,5,69,0,19,1,35,3,0,21,2
FICD,7,21,26,16,7,35,121,157,435,402,5,1,0,12,99,1,0,107,6,4,0,3,38,311,0,3,36,2,39,1,4,3,5,285,2,5
FIG4,5,0,0,39,1,1,0,0,5,0,1,0,2,1,0,1,0,0,0,7,0,0,0,0,17,0,0,0,0,0,10,0,0,4,0,0
FIGN,0,0,0,0,0,3,216,0,18,2,0,0,0,3,64,0,0,0,67,2,0,1,0,0,61,0,1,1,0,0,0,0,0,0,0,0
FIGNL1,36,3,30,0,110,29,0,1,688,0,0,5,0,11,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIGNL2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FILIP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FILIP1L,0,51,23,0,2,32,16,18,0,0,476,72,240,0,1,0,0,0,10,0,60,0,1,4,0,78,0,227,71,0,0,0,0,4,0,5
FIP1L1,33,178,74,4,40,41,1,9,25,0,1,130,9,17,23,0,18,29,160,185,22,0,5,60,15,38,34,55,3,23,28,2,0,47,9,13
FIRRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIS1,26,38,146,142,39,29,43,63,224,30,226,7,103,16,18,346,68,33,144,60,204,8,1,55,37,17,151,45,151,9,22,138,81,179,17,12
FITM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FITM2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,1
FIZ1,0,0,0,0,0,0,5,7,0,0,0,63,0,1,8,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0
FJX1,0,0,62,67,83,13,0,9,0,0,8,0,0,1,0,2,9,3,0,3,69,38,1,0,0,0,4,4,0,0,4,2,0,1,0,0
FKBP10,0,7,86,14,4,30,46,10,9,156,106,1,9,10,9,15,15,22,7,12,153,4,0,7,10,13,35,13,221,46,14,74,5,2,0,0
FKBP11,135,0,0,77,9,30,160,143,0,0,0,42,0,4,6,50,16,7,42,1047,30,75,0,57,3,2,12,0,12,0,2,5,1,0,46,1
FKBP14,41,0,1,0,13,52,1110,390,586,176,0,333,2,4,25,0,0,0,27,83,0,11,1,25,11,25,18,1,5,0,39,1,0,66,1,5
FKBP15,0,146,33,30,10,17,21,0,14,0,0,0,6,8,11,0,32,0,0,0,0,1,0,0,0,4,0,18,1,1,0,0,5,0,0,0
FKBP1A,233,39,388,394,112,281,211,138,434,70,9,618,466,126,94,12,205,244,681,423,411,427,352,1,262,114,425,81,68,648,59,824,359,269,139,527
FKBP1AP1,216,4,0,8,2,23,2,0,170,2,2,0,1,18,12,41,0,2,2,0,3,0,5,103,43,25,18,1,52,0,3,0,0,4,0,2
FKBP1B,0,0,0,248,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FKBP2,24,35,42,17,0,10,11,2,22,3,2,16,21,0,6,10,10,7,2,0,3,2,30,21,24,6,29,46,42,9,7,42,18,39,48,24
FKBP3,44,2,6,9,6,7,48,12,2,49,0,47,1,22,12,1,9,12,145,0,36,0,11,1,4,31,2,0,0,17,3,1,0,0,19,69
FKBP4,25,63,630,4,26,82,138,53,397,180,165,82,57,12,42,4,12,33,438,270,42,11,6,142,0,20,160,445,82,45,19,381,7,215,230,305
FKBP5,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
FKBP6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FKBP7,0,1,2,0,3,2,0,150,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,12,1,0,0,0,4,0,0,0,0,0
FKBP8,1,0,0,2,0,1,0,0,0,8,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,11,0
FKBP9,59,569,399,788,334,128,450,677,704,40,254,70,43,128,192,455,92,385,470,1568,513,2,41,232,146,123,10,36,146,73,243,71,651,72,212,153
FKBP9P1,0,6,3,6,3,0,4,6,9,0,3,1,2,1,2,8,1,6,5,17,1,0,0,2,0,1,0,1,3,1,3,0,4,0,0,1
FKBPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
