gene,score
SUN1,9.9385558720124
APOBEC3B,9.90734934978819
C19orf53,9.86175493416082
FIGNL1,9.81864695143953
LCLAT1,9.79149675502578
KIAA1551,9.77441436552372
DCAF12,9.74935298869083
ABAT,9.73638608357704
MTBP,9.70606366422785
CKAP2L,9.69651872484165
PNMAL1,9.63584933555939
CCT8,9.62469616506439
UBE2T,9.60123150465804
MRPL51,9.587900434472
C1orf174,9.58606471612915
NOVA1,9.56777180857273
C14orf159,9.56277658758692
TM2D3,9.54621848216246
CHD1L,9.49538247840972
P2RX7,9.46147968727095
ZCCHC17,9.4577890898734
FAM98A,9.43497744304352
LINC01420,9.37649399111032
TMEM255A,9.32337071149502
SUCLA2,9.29665729751359
CCDC102B,9.27441692128963
NUDT19,9.24854567573479
ALAS1,9.24825633911642
ZC3H11A,9.23196236835377
POLR3E,9.19744449602704
SMOX,9.17999071569092
BARD1,9.17611926711531
SPDL1,9.11244223978356
SMYD3,9.06696525721626
EME1,9.0278340856797
PLK2,9.02414065647203
CTTNBP2NL,8.95572850566411
COTL1,8.90579965695071
MAN1B1,8.90306768311759
LRP4,8.88858188106388
AP1M1,8.8655958810625
TMED5,8.84484402160948
RPL38,8.83409377786054
ELMOD2,8.80874859364518
EFR3B,8.75320759929805
EAPP,8.66972028153162
MIR6723,8.66411227580561
TMEM60,8.65998548410059
TK1,8.63138446080939
COMMD5,8.62147278245973
CCDC124,8.61520870890021
PAN2,8.59297363991075
CD27-AS1,8.56488031410042
AP2B1,8.56405810408025
TBRG4,8.56279101069705
ASF1A,8.5298861246499
PARP9,8.52447843626792
GSTA4,8.51304144537101
ANXA1,8.51293595418311
PARP2,8.48825196322127
LANCL1,8.48805652201533
SLC3A2,8.46095369413133
PMF1,8.45041455550853
EPS8,8.40747960388666
NAGK,8.39829402455318
ZNF548,8.39611603952053
GLG1,8.39354291199648
SLC4A4,8.38769574670649
LOC100419583,8.3837529596829
SLC25A19,8.36915849556884
NPHP3-ACAD11,8.36201610785074
EFNA1,8.36118645866751
SNW1,8.35453361704971
NCAM1,8.32743003249608
GNG2,8.32461985566982
SEMA3A,8.32169666656465
KBTBD2,8.32121260711149
ELP6,8.31109166983983
DDX47,8.30693849959302
CAT,8.26224389328844
BBOX1,8.23698390735197
RSL1D1,8.2048781649447
CRBN,8.19110879925989
SLC40A1,8.17579667141027
CCDC28A,8.15251129171467
FBXO3,8.10774490942034
C17orf80,8.04978396140968
TCTN3,8.03707559391543
EXOC2,8.01853855149121
VIPAS39,7.99766144036701
BCAS3,7.99397325621956
SRP54,7.95887416478048
PAICS,7.9481516366947
ADAM17,7.91267005407339
ATPIF1,7.87621911418873
ZNF232,7.8678182253081
DDX24,7.85261849913634
APH1B,7.84351383112923
COPA,7.84215177603275
POLR2J,7.82801543533783
TPGS2,7.81975753739654
SYNJ2BP,7.81589178089427
RND3,7.81101439438623
GGCX,7.80999034183216
TOB1,7.79022457750766
MCCC1,7.78948191889624
GEMIN5,7.78650856967645
DNAJB11,7.77048329037147
PTK2B,7.76128753243222
TSPYL4,7.74498025328372
TTI2,7.74385227993583
FKBP9,7.71084084083415
RBM8A,7.70612444289943
GALNT11,7.70196162372914
TCEB2,7.70157756663722
COMMD2,7.66444548817264
SLC44A1,7.62012843254176
ALDH7A1,7.61362100782591
NDUFA7,7.60562023923268
DHCR24,7.59423459790901
TBL1XR1,7.55574051063743
SNHG17,7.49933463335002
NUBP2,7.46999943503089
F3,7.46575652218239
LDLR,7.45138623533987
ITPA,7.45113067012213
NQO2,7.44775611051047
PTPRF,7.39757212069015
MATN2,7.38166558365249
SERPINA3,7.35058336505038
SIRT2,7.33429457212844
JAM3,7.33346542703974
AEN,7.31811562191946
HMGN4,7.30519110011269
WIBG,7.30163509796746
DDX19A,7.24220536440603
PIGC,7.23274469810554
A2M,7.18998449246774
HEATR5A,7.18767541353376
RMND5A,7.1823958656657
BMP7,7.16608718355214
RP9P,7.15923559165919
PSMD12,7.10416212178996
PELO,7.10005431862454
LGALSL,7.0997765773942
MBTPS1,7.09071066486385
KANK1,7.07479392147058
UQCC3,7.06337268170356
DDX5,7.06011497210034
NDUFA5,7.05341047983784
BCL2L13,7.03853976182508
DYNC2H1,6.99388335461105
TIMM8B,6.99087784571315
HIST1H1C,6.9597240045167
RFX5,6.95923691960743
CSGALNACT1,6.95535714271896
CRCP,6.90568113581602
SEC61A1,6.89852198601004
UBXN8,6.86858589779031
SMIM20,6.83754035887818
PSPH,6.83357876359465
BTF3,6.81629172707789
PRCP,6.7893528771547
NUPR1L,6.76463652768456
C3,6.71882519104793
WLS,6.7186901414135
TMED4,6.71337634906288
CHMP1B,6.70508982635322
LDLRAD3,6.682656942818
RAD18,6.66506177188883
TRIM22,6.64333205145636
FRMD6,6.63938076904235
MLX,6.63803766851517
NTPCR,6.62041028787109
GSTP1,6.60817938540266
ZBTB43,6.59018378607533
RABGGTB,6.5887084548983
THOC1,6.5819865855686
PCMT1,6.57286474120324
LHFPL3,6.54387267374271
HEPACAM,6.4967346850101
STK36,6.48257766501435
KIAA2026,6.46602308352094
LYRM4,6.45371705261483
DNAJC15,6.44663911552873
CTTN,6.43956318097884
SOD2,6.43191456707014
TIMELESS,6.42788940972199
PRRC2B,6.41384665645641
METTL13,6.37584057107532
DCP2,6.3647851368244
MRPL40,6.35987977900754
MAPK1IP1L,6.35873653173925
ANKRD10,6.28008669450638
FERMT2,6.27669245948061
DDX17,6.24452787804832
SLC39A6,6.21888529498363
OBFC1,6.212104198458
ERV3-1,6.20483664297451
SLC37A3,6.20082709679167
IGDCC4,6.18417132091637
TTC4,6.17878619150816
FAM126A,6.16669236430568
BSDC1,6.16530822781583
NADSYN1,6.16496097293211
GNL1,6.1586609207972
C11orf98,6.10885020166359
C6orf1,6.102946371929
MARCKS,6.10124449292426
ZFP36L1,6.06866138913557
KHNYN,6.04954672830207
SCD,6.03870686761796
ATP2B4,6.03228119244602
C12orf43,6.03035841804994
PTGDS,5.99331284178327
SDHAF3,5.98876090406896
MFAP4,5.98765223043981
POLDIP2,5.98249311994418
UQCC1,5.97740217736516
KANSL2,5.96692218206935
TMEM216,5.95986991800222
