Gene,GSM1271945,GSM1271946,GSM1271947,GSM1271948,GSM1271949,GSM1271950,GSM1271951,GSM1271952,GSM1271953,GSM1271954,GSM1271955,GSM1271956,GSM1271957,GSM1271958,GSM1271959,GSM1271960,GSM1271961,GSM1271962,GSM1271963,GSM1271964,GSM1271965,GSM1271966,GSM1271967,GSM1271968,GSM1271969,GSM1271970,GSM1271971,GSM1271972,GSM1271973,GSM1271974,GSM1271975,GSM1271976,GSM1271977,GSM1271978,GSM1271979,GSM1271980,GSM1271981,GSM1271982,GSM1271983,GSM1271984,GSM1271985,GSM1271986,GSM1271987,GSM1271988,GSM1271989,GSM1272036,GSM1272037,GSM1272038,GSM1272039,GSM1272040,GSM1272041,GSM1272042,GSM1272043,GSM1272044,GSM1272045,GSM1272046,GSM1272047,GSM1272048,GSM1272049,GSM1272050,GSM1272051,GSM1272052,GSM1272053,GSM1272054,GSM1272055,GSM1272056,GSM1272057,GSM1272058,GSM1272059,GSM1272060,GSM1272061,GSM1272062
Ak3,4.391467427166394,0.24548694377294014,0.12771994008018472,0.9538376316005485,0.3694071968215938,0.17114242221971643,6.777133983163507,0.5243489527862552,5.226209276859941,1.2744697949492698,6.27052403014525,0.8022326793539177,5.049359888647665,2.8323763418352375,0.3496150553016518,0.14557255391089924,0.20041131293310788,0.39357779868845455,1.2034341147563996,7.518491272370159,4.0242522106257494,0.18412353153280464,6.291270204882504,1.2487770743142037,3.31204539212204,1.1838743079820633,0,0.2839326646405898,0.3640878599847034,0.7610354451554979,2.953911052465197,0.9783049254393336,0.36155561614034293,0.7544060584212324,0.16693150195599774,3.703872675658281,5.972935259916848,6.471321486732899,3.3336902611806547,3.2933452662604115,0.9895091310046894,0.9070539973215613,6.387281490483511,1.6341240803298476,4.995760542041685,8.189553687017758,4.929120873264673,5.041221155022676,3.574017275977417,3.231539456763077,4.159039503443939,7.518491272370159,2.24139135856283,2.9809374008001033,3.4080985949178264,6.609455574048858,4.879316816840228,7.344840978050868,4.125638495102659,3.5256792466529925,3.596765029649786,4.323958702691255,3.948901111666475,5.314309476106696,3.5707556434622565,3.474332541989767,3.9320768927213248,3.260942459171556,3.588008361242795,3.280308272063782,3.472495610946684,3.800208452395332
Akap8l,5.110183077104861,0.3184646956147901,1.4065182086383035,0.9126538172824138,4.963651070001018,8.031823133967999,5.2085498555085055,2.641137830655955,0.18226892885746407,1.187390270736594,6.2638213258644235,0.8435310442333076,5.761900369101191,4.722506820166904,1.4258019918707938,6.840629597812677,4.550950472389515,7.074927072998422,2.728982110010576,2.4703341219586594,0.33004312953840903,3.819285824519541,6.516621084959817,6.89274552369718,2.0693067047387794,1.1936952150083415,0,0.3592420994760955,0.14083746242519657,0.7825242718442269,4.460618742258366,6.077884785617475,2.7203610559742506,0.7419433524432443,0,0.37414228830729646,0.23948328681095557,5.4360101610355915,2.028642526826375,1.1803987863334555,6.266305810855511,0.9019935992689226,6.4389966111959875,1.6253814356184593,4.865795232311192,5.566966177874251,3.0621328193790185,5.030785267053575,2.9373854599444114,7.474343567227023,4.133926842521676,6.044865634977829,4.902524461083206,5.1780210843784635,7.536506700315477,7.2049142427963275,8.557923386837393,3.800860055831431,4.132616639481775,3.555080712726359,3.602421929514503,4.098652141908246,6.8031065198363185,6.572064673942124,7.777036176758773,3.4255422096638664,3.948901111666475,3.2526944707840797,3.5892766593171457,3.284923536221034,3.4786311747083487,3.642464285650986
Aldh6a1,0.3908457112683705,0.37414228830729646,1.7066510794247325,1.6949779910221434,0,0.9070539973215613,0,8.847435597608948,0.14557255391089924,1.2182151541729818,0.17328340388398392,2.4309289784243324,0.06339372488149772,0.06863392253624033,0.3136752444162939,6.513387605237389,1.9257188514515613,0.41413604551930455,2.964940442943828,0.028881132523331052,6.4389966111959875,6.133115389379597,3.1876103447985047,0.48043843263732555,2.790959118501374,1.2999717495399499,1.9089473545718592,1.2670969675066108,0.14931328910233793,0.667224312952625,2.9010649358689555,2.3403674897539513,5.685648308620678,4.314462615249939,0,0.4246372180238954,0.3908457112683705,4.964827403182789,2.711539501736276,1.3133143961127156,2.0936699047382885,0.8772963656436267,6.3070317914072955,1.5188252699851243,0,2.5923917173971383,3.076618934682008,5.074446805738851,3.000123789662861,3.0555993368538648,4.1563560059487745,3.923429170502095,6.612531881825474,2.9209232300903345,2.5323247837338925,3.259554480476937,4.080324668493184,3.8105700380261647,4.138970413221162,3.484238344766321,4.0242522106257494,4.084387732582205,3.9423213364817284,5.597364385940308,3.4255422096638664,3.4400248694838274,3.9633732400959625,3.277582393709962,3.781148657990481,3.423028147893413,3.327956339664595,2.9970893049703786
Aldh7a1,7.444418489232911,4.337636054898586,0.4688090302569155,7.061270840063576,0.7297049252422924,8.396409968897812,5.998716021723462,0.5934468391678456,0.14678104525797744,8.211643122735198,0.21124684845462974,0.9670677497786807,7.165093245838642,7.302231369903945,0.3136752444162939,0.12054600056795378,2.6892923162279683,2.753761524514076,6.949235473557551,1.4946550989624137,1.5418200178896246,1.4979151287960524,1.9475569080976531,4.5285376138835,2.969557494208986,6.797824243686772,2.566507947263122,8.386024336602995,0.153308873441946,0.6732703972756506,7.353635940070792,3.435680230373177,5.386696150210263,8.251929841474064,7.686510572047618,8.204421491922597,8.594736594171897,6.777133983163507,2.0016682924627593,2.1592386130943555,8.708421704272316,0.8772963656436267,6.296327670225988,2.4593130792645868,6.485166883696766,2.6024799221287047,3.0780671027471795,5.07142009733712,3.0163097078501107,3.057814527122715,4.155205826443739,3.921910245806315,8.537564688874197,9.4543005000294,2.52840828203142,7.783669410123435,4.063664419360967,5.890176422505512,4.136810670740148,3.513411284548974,8.328472627240041,4.08877455106812,3.9375224358715157,9.054382476200166,3.4265823322640947,3.4421593030399835,3.9616186194022593,3.2761937458099837,3.7863472885765144,3.4241621257110264,5.193399464295021,7.501260562664548
Anapc4,3.444356762063621,2.6593914224263746,6.848127035451006,2.606147592972551,0.4569287249959827,3.7114306445671756,6.074269231815555,8.284030541357987,0.18515280892382857,2.768548845316868,5.3417052924718265,1.0811411246498426,7.835640195188645,0.05939814054188966,4.531566116487249,2.9881644447360163,0,1.8622274055818817,4.211369394251289,8.31624365253016,0.39490155118573683,0.21673872029150007,6.816021541958854,3.4184681213328467,2.08554920060986,7.312861046307524,2.298444820462349,7.724951245235465,3.800208452395332,7.975188970493445,1.1645955660370029,0.8702317914166351,0.3136752444162939,1.1159378134293287,0,2.169700507556253,4.070041082294558,0.9126538172824138,5.193399464295021,8.05133688970348,2.936087627943555,3.2933452662604115,6.823458139366658,1.571327468161769,7.357770960321419,3.7670924025954267,3.191583379011801,5.822276060593053,2.261187673402812,3.025181212487664,4.893157246184177,6.4750658530974965,2.8621514729144057,3.0685943241122797,7.971043980492617,3.289452660373661,4.023228841353956,7.778942918743636,4.314462615249939,5.813441506107685,4.043266727993735,4.1415715920090275,3.923429170502095,9.56777576002765,5.860137859257339,3.2933452662604115,6.592340516207604,3.427531778538183,3.327956339664595,3.5565912700517806,3.2945891895212975,6.239011114161195
Ankrd46,4.2551529162239525,5.5210894132858535,7.12254557611553,6.395109318137282,5.370060468281067,3.108692825786812,0,1.5207695471801193,1.4911013350346392,2.422540485472002,1.7735861928860486,1.147381696713398,4.03918252773565,0.6382813144522193,4.278995669839083,7.4954786283878665,6.8709402062675515,1.377506393976109,6.099825862907095,0.14557255391089924,0.45283403042213227,7.518491272370159,0.17328340388398392,2.012618744096363,7.427335373916346,5.769465903902907,0,7.11009447060544,0.17114242221971643,0.8667975436422614,5.694139746157225,1.7517597299724053,0.72617325654691,1.0811411246498426,0,3.7276887488584025,0.40306525486493294,6.853267413716506,1.4546777401291953,1.1260636073314356,1.1932078355665183,7.723270406047979,4.003822154906001,1.558139602148672,0,1.9758626588271793,4.525193905678996,5.858788169191979,7.952022027921886,3.037702477991142,4.908694401057012,3.496420528422726,2.5604501460133817,2.9970893049703786,8.43157698664078,3.3380113186411724,6.256273305228559,5.860137859257339,4.289085142247867,6.038636881823427,3.9876905690038154,4.132616639481775,3.692608955035731,5.566966177874251,3.4087518321384684,3.308975580286585,4.538094440544972,8.72324178218621,4.7658750099792995,4.47805736981963,3.3103139821600016,6.311397746007374
Ano1,6.675517435651375,0.12054600056795378,1.9362702176206923,0.8976787160650826,4.055935222950384,0.2551139879473838,0,8.645900061930176,3.3765843424442954,0.5934468391678456,7.065425890908415,1.1430063785826363,2.666004656928657,6.857759466538685,7.384722667886369,9.054382476200166,0,2.64398443930768,7.562834065379555,5.8093178444777704,0.6382813144522193,0.2216925389573158,2.562217032526913,0.33568601585590385,5.752168090935339,1.2773131892921907,7.829292390473884,6.955042249886655,2.5960528139105628,0.8022326793539177,1.0299997680871755,1.748675768279919,0.7711863515975631,7.833554360346188,0,4.392386317144211,9.22151236420985,1.4374210225134525,10.430508676283493,0.9282854102419916,2.4703341219586594,0.9282854102419916,3.9732024840251268,1.552635821214957,8.60787576632309,8.060874679930096,3.1322299378195497,5.853552589820117,2.0666653650334457,3.0415069073154135,4.949722388293083,3.4909152706328404,7.607498921044249,2.9881644447360163,2.5135733502332345,8.883483467629965,4.158278409081016,4.332549686542089,4.2551529162239525,8.555117929166224,8.060874679930096,4.068513842685386,3.6955711770325013,9.536302727301644,3.4110175241857084,3.280308272063782,7.489230419606049,3.3524195022852434,4.115449026079238,7.87425333985368,3.3126234113888056,7.180818035988347
Antxr1,1.1166502202958224,0.17770637237174133,2.566507947263122,0.829071747936237,8.076871398833429,0.23948328681095557,0,3.2865236132713953,0.8767052598878101,0.5790011347643949,9.492428363427583,1.12833155788401,1.3721085901193362,0.14931328910233793,10.045715993254277,0.45283403042213227,0,3.564664963531925,2.9386518587595827,6.931346971364483,7.637807786693352,2.0381712645192107,2.3543059585229082,2.711539501736276,4.8189802444080625,8.700891686512431,2.5547723129619073,9.115744738867706,2.171556829640106,8.454594308964017,5.194817103788007,3.9423213364817284,5.324645373483718,4.125638495102659,6.330572809335693,8.692230124970065,1.7624684347502746,2.024059677151507,5.337374634874978,8.942566454475607,7.28057912741001,4.062813652782416,9.00367730676422,3.329246468484519,2.58716312770847,4.651767096275292,9.18364813618661,5.845574082340104,6.647310514930285,3.0971096713041435,7.04075199319891,3.4876481648985154,2.5923917173971383,5.834157714774386,2.5757749807756807,3.3452249667816565,4.2489803969599516,4.33654210102842,4.247958903168046,3.3915416091839665,3.99417087382115,4.194365141958878,3.702724715925506,5.5580589405738685,8.284030541357987,5.318831522470914,4.5285376138835,3.347486445262859,4.323010216674706,3.5249294451589046,3.347486445262859,2.946656427251982
Anxa3,10.260788912025543,8.754285910865354,2.021607469177769,0.8667975436422614,0,0.17114242221971643,5.7347709600351005,1.4374210225134525,0.8950135631788312,4.33654210102842,6.953122135732932,8.83224974122302,1.327415094251107,0.14678104525797744,9.328436461169783,8.642422363330681,4.0242522106257494,0.3861594488777669,0.9126538172824138,8.483882754519389,9.473246366610217,0.33004312953840903,0,6.90424361156676,7.720731584390197,1.2942678187777223,8.267418319505824,4.9484633679691274,9.047616889871234,2.619606526768113,3.280308272063782,8.377276346512437,6.896641419270301,4.8189802444080625,1.8696613006169454,0,3.4080985949178264,0,9.122440157281655,7.88255178557489,8.209330126259047,1.2267961433939965,3.986553500664363,3.455745270973089,0,8.883483467629965,3.1604924501892926,5.841505766641479,9.019488419230456,5.782983939792274,4.939050323552085,3.4786311747083487,2.7166075531551237,3.024060456043531,2.641137830655955,7.616053259016739,4.197461519334606,4.339646837621235,4.233314773431457,3.3881925628416876,3.998731079440613,4.187314613795361,3.7075149061583326,5.551561808195577,3.4799395740067443,3.262407603358613,4.527409298442834,9.44419242699272,4.229640536688972,9.809944573725904,3.3802211325444027,2.932510929446192
Ap3b1,1.0478602729139919,2.221260378790915,8.631691726198579,0.6263489211461886,7.600713182389624,3.4953997023766292,1.9506704603892355,8.937371951461065,5.997559184872042,10.54911329878229,9.157165552942047,5.426382800213544,8.26497761355565,1.6958438255328352,7.434064489549242,6.638246673017638,7.2542772312249015,8.594736594171897,6.849719837670083,9.030344347208663,4.423628980791304,8.383307136641875,0,0.38824017496427604,1.4760779838503626,9.637875832753155,8.851982399072467,9.651423882394695,2.4526996400649868,3.213951223215143,1.0722593629285782,1.7278972201177516,3.0679314277925487,0.9029518335951303,0,7.4605562238840495,0.21124684845462974,8.058698686947357,9.56777576002765,8.658576385753312,8.146760907874514,7.595923627104372,3.82893566530804,5.64822380853555,1.4444045538866723,8.754285910865354,2.500898600568122,5.7541172063846,2.01495680367221,3.09443497793085,4.837975925801221,8.222861078704492,2.654434144463116,8.31624365253016,8.866495867756543,8.29057047358545,4.204479685903983,4.315753932149114,4.269234321452718,9.473246366610217,6.000660218569312,9.259828424559785,3.6468843604094507,3.6195423017346107,3.496420528422726,3.279112587699448,8.230830775959271,3.2402387942452617,4.525193905678996,10.21627960698256,3.3957865080589977,3.757151867302789
