comparison,rowname,lb,mle,ub,ce,Z,cZ
1 vs. 2,PTPRN,-0.07344141632173924,0.24480472107246312,0.4896094421449249,0.0,1.5803464951555544,1.4000558636824836
1 vs. 2,CD74,-0.04896094421449216,0.22032424896521602,0.4651289700376805,0.0,1.5784906964004994,1.3981671193710488
1 vs. 2,PKIA,-0.07344141632173924,0.22032424896521602,0.4406484979304328,0.0,1.5779317267321737,1.397792255521865
1 vs. 2,SLC35B4,-0.07344141632173924,0.22032424896521602,0.4896094421449249,0.0,1.5779219373623137,1.397792255521865
1 vs. 2,GIMAP2,-0.04896094421449216,0.19584377685797064,0.4161680258231883,0.0,1.5765817453236686,1.3964617932190417
1 vs. 2,RBBP6,-0.07344141632173924,0.22032424896521602,0.4406484979304328,0.0,1.575098590138813,1.394976547735419
1 vs. 2,LIMD1,-0.5140899142521727,-0.22032424896521602,0.024480472107246912,0.0,-1.5744569908553823,-1.394467076288019
1 vs. 2,DBNDD2,-0.04896094421449216,0.19584377685797064,0.4161680258231883,0.0,1.5744053705101926,1.394467076288019
1 vs. 2,FOXM1,-0.07344141632173924,0.22032424896521602,0.4896094421449249,0.0,1.573378864443983,1.3935510707386949
1 vs. 2,TDRD9,-0.04896094421449216,0.19584377685797064,0.4161680258231883,0.0,1.5733366212747313,1.3935510707386949
1 vs. 2,EIF5,-0.04896094421449216,0.1713633047507239,0.3916875537159406,0.0,1.5680844332032169,1.3879850545567913
1 vs. 2,ME3,-0.04896094421449216,0.1713633047507239,0.3916875537159406,0.0,1.5672600460247483,1.3872131359187183
1 vs. 2,BRAT1,-0.07344141632173924,0.24480472107246312,0.538570386359417,0.0,1.5668942384416682,1.3869378105885444
1 vs. 2,POU3F4,-0.07344141632173924,0.22032424896521602,0.4651289700376805,0.0,1.566566738258663,1.3867039654238458
1 vs. 2,RAB31,-0.07344141632173924,0.22032424896521602,0.4651289700376805,0.0,1.5663993574780426,1.3866434895468538
1 vs. 2,PSTK,-0.5630508584666648,-0.24480472107246312,0.04896094421449216,0.0,-1.565966074902555,-1.3862951013607885
1 vs. 2,TESPA1,-0.07344141632173924,0.24480472107246312,0.4651289700376805,0.0,1.5656762844475218,1.38610207613956
1 vs. 2,PAX8,-0.07344141632173924,0.2692851931797085,0.5875313305739092,0.0,1.5650400437976493,1.3855339577928683
1 vs. 2,FAF1,-0.07344141632173924,0.2692851931797085,0.5875313305739092,0.0,1.5630577098535066,1.3835084299425329
1 vs. 2,ZFX,-0.07344141632173924,0.22032424896521602,0.4406484979304328,0.0,1.5623598937419665,1.3828736893202958
1 vs. 2,TMEM63A,-0.04896094421449216,0.1713633047507239,0.3916875537159406,0.0,1.5619062303977729,1.3825465777598502
1 vs. 2,UBQLN1,-0.04896094421449216,0.19584377685797064,0.4161680258231883,0.0,1.5618346141108383,1.3825465777598502
1 vs. 2,TEF,-0.07344141632173924,0.24480472107246312,0.4896094421449249,0.0,1.5611606333610824,1.3819376799900738
1 vs. 2,RENBP,-0.07344141632173924,0.24480472107246312,0.5140899142521727,0.0,1.5606324668211273,1.3814866602295208
1 vs. 2,YWHAQ,-0.07344141632173924,0.2692851931797085,0.5630508584666648,0.0,1.5603956144353228,1.3813510250371694
1 vs. 2,E2F3,-0.07344141632173924,0.19584377685797064,0.4651289700376805,0.0,1.5596087881509346,1.380620001726427
1 vs. 2,B3GALT1,-0.07344141632173924,0.24480472107246312,0.4896094421449249,0.0,1.5590187007721559,1.3801019784243165
1 vs. 2,DGUOK,-0.07344141632173924,0.22032424896521602,0.4651289700376805,0.0,1.5581012506508576,1.3792295802121113
1 vs. 2,AP1M2,-0.07344141632173924,0.24480472107246312,0.4896094421449249,0.0,1.5576088533119332,1.3788173417387486
1 vs. 2,NODAL,-0.04896094421449216,0.1713633047507239,0.3916875537159406,0.0,1.557062837319982,1.3783470685978552
1 vs. 2,HLX,-0.07344141632173924,0.19584377685797064,0.4406484979304328,0.0,1.5568793896877196,1.3782692806876518
