comparison,rowname,lb,mle,ub,ce,Z,cZ
1 vs. 2,Nrm,-2.5582304016677875,-0.20969101653014646,0.5032584396723484,0.0,-0.8600351280758297,-0.0
1 vs. 2,Fbxo9,-1.8033427421592565,-0.5871348462844093,0.5871348462844093,0.0,-0.848277186919825,-0.0
1 vs. 2,Kdm5d,-1.8452809454652885,-0.5032584396723517,0.7129494562024956,0.0,-0.8347372006976549,-0.0
1 vs. 2,Nudcd1,-2.0969101653014643,-0.3355056264482367,0.5871348462844093,0.0,-0.8342244936153471,-0.0
1 vs. 2,Atp6v0a4,-0.6710112528964701,0.2935674231422033,1.8033427421592565,0.0,0.8286704992175694,0.0
1 vs. 2,Epb4.1,-1.551713522323084,-0.6290730495904381,0.6290730495904348,0.0,-0.8240673328932316,-0.0
1 vs. 2,Kbtbd11,-0.8387640661205851,0.6290730495904348,1.9710955553833749,0.0,0.8236873061478837,0.0
1 vs. 2,Fbxo3,-1.8033427421592565,-0.5032584396723517,0.6290730495904348,0.0,-0.8044573376994187,-0.0
1 vs. 2,Dicer1,-1.9710955553833749,-0.7129494562024989,1.0484550826507288,0.0,-0.7984971712568605,-0.0
1 vs. 2,Pmvk,-1.7194663355472024,-0.6710112528964701,0.6710112528964668,0.0,-0.7947653571576776,-0.0
1 vs. 2,H2-T24,-1.8872191487713175,-0.5032584396723517,0.6290730495904348,0.0,-0.7900212962402847,-0.0
1 vs. 2,Fam53c,-0.9226404727326459,0.20969101653014646,2.0969101653014612,0.0,0.7820544203764448,0.0
1 vs. 2,Zfp839,-1.9291573520773462,-0.5032584396723517,0.5871348462844093,0.0,-0.7797820414875466,-0.0
1 vs. 2,Smpd3,-0.7548876595085277,0.2935674231422033,1.719466335547199,0.0,0.7702944973233057,0.0
1 vs. 2,C2cd3,-1.7194663355472024,-0.6710112528964701,0.6710112528964668,0.0,-0.761807964707104,-0.0
1 vs. 2,Slc25a44,-2.1388483686074933,-0.4193820330602942,0.5871348462844093,0.0,-0.7560635174322111,-0.0
1 vs. 2,Ngrn,-2.054971961995436,-0.6710112528964701,0.8807022694266139,0.0,-0.7544335282291396,-0.0
1 vs. 2,Adam32,-0.7968258628145565,0.2935674231422033,1.7614045388532278,0.0,0.7506190592811786,0.0
1 vs. 2,Rpl10,-2.180786571913522,-0.20969101653014646,0.6710112528964668,0.0,-0.7272523646630789,-0.0
1 vs. 2,Csrnp1,-0.7129494562024989,0.6290730495904348,1.7614045388532278,0.0,0.7141395339676404,0.0
1 vs. 2,Morn3,-0.9226404727326459,0.2935674231422033,1.9291573520773462,0.0,0.7120829816390571,0.0
1 vs. 2,AF357359,-1.551713522323084,-0.5032584396723517,0.7129494562024956,0.0,-0.711422519357189,-0.0
1 vs. 2,Etfdh,-1.8452809454652885,-0.7129494562024989,0.7129494562024956,0.0,-0.7070625173028847,-0.0
1 vs. 2,Limd2,-1.7614045388532311,-0.7129494562024989,0.9645786760386714,0.0,-0.7038865871495744,-0.0
1 vs. 2,Klhl26,-1.9291573520773462,-0.6290730495904381,0.7129494562024956,0.0,-0.697969875158417,-0.0
1 vs. 2,Lancl3,-0.8807022694266139,0.2935674231422033,1.8452809454652852,0.0,0.68774292382128,0.0
1 vs. 2,Trat1,-0.8807022694266139,0.2935674231422033,1.8452809454652852,0.0,0.6866064178759353,0.0
1 vs. 2,Zmiz1,-1.7194663355472024,-0.9226404727326459,1.8033427421592565,0.0,-0.6805561729747343,-0.0
1 vs. 2,Dhx38,-1.8872191487713175,-0.6290730495904381,0.6710112528964668,0.0,-0.678461279318699,-0.0
1 vs. 2,Mir3061,-0.9226404727326459,0.2935674231422033,1.6775281322411668,0.0,0.6738285650418624,0.0
1 vs. 2,Dnajc17,-0.9226404727326459,0.2935674231422033,1.8033427421592565,0.0,0.6670838119918407,0.0
1 vs. 2,Gpkow,-2.432415791749698,-1.4678371157110233,0.6710112528964668,0.0,-0.6665981313322783,-0.0
1 vs. 2,Apex1,-1.8033427421592565,-0.6710112528964701,0.6710112528964668,0.0,-0.6626290069879182,-0.0
1 vs. 2,Tmem186,-2.0969101653014643,-0.5451966429783839,0.7548876595085243,0.0,-0.6587967636548993,-0.0
1 vs. 2,Cenpc1,-1.8872191487713175,-0.5032584396723517,0.6710112528964668,0.0,-0.6585557194640455,-0.0
1 vs. 2,Gucy1a3,-1.9291573520773462,-0.5032584396723517,0.6710112528964668,0.0,-0.655899296464849,-0.0
1 vs. 2,Mlf2,-1.5097753190170553,-0.3355056264482367,0.6710112528964668,0.0,-0.6494718049380929,-0.0
1 vs. 2,Nbas,-1.8452809454652885,-0.6290730495904381,0.6710112528964668,0.0,-0.6485434747158466,-0.0
1 vs. 2,Cox4i1,-1.2581460991808795,-0.3355056264482367,0.6290730495904348,0.0,-0.6470144743567225,-0.0
1 vs. 2,Foxa2,-1.9710955553833749,-0.4193820330602942,0.6710112528964668,0.0,-0.6450638274105139,-0.0
1 vs. 2,Plxna4,-1.0065168793447035,0.2935674231422033,1.719466335547199,0.0,0.6370577211845784,0.0
1 vs. 2,Zfp957,-0.9226404727326459,0.2935674231422033,1.7614045388532278,0.0,0.6229673132790244,0.0
1 vs. 2,Ccr9,-1.0065168793447035,0.2935674231422033,1.8033427421592565,0.0,0.6189736410749302,0.0
1 vs. 2,Pigw,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.6164295041384045,0.0
1 vs. 2,Rad1,-1.8033427421592565,-0.5032584396723517,0.8807022694266139,0.0,-0.6140315051485367,-0.0
1 vs. 2,Sh2b2,-0.8807022694266139,0.2935674231422033,1.719466335547199,0.0,0.6131371944060426,0.0
1 vs. 2,Usp31,-2.013033758689404,-0.7129494562024989,0.6710112528964668,0.0,-0.6116633707601812,-0.0
1 vs. 2,Snord49a,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.6107697043449434,0.0
1 vs. 2,Marcksl1-ps4,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.6107697043449434,0.0
1 vs. 2,Sfrp4,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.6107697043449434,0.0
1 vs. 2,Slc2a4,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.6107697043449434,0.0
1 vs. 2,Snord69,-0.9226404727326459,0.2935674231422033,1.719466335547199,0.0,0.608947546497592,0.0
1 vs. 2,Sri,-0.7968258628145565,0.25162921983617326,1.8452809454652852,0.0,0.6079858988833412,0.0
1 vs. 2,Serpinb1a,-1.0065168793447035,0.2935674231422033,1.8452809454652852,0.0,0.6043983028078027,0.0
1 vs. 2,Gm5797,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.6039673170687411,0.0
1 vs. 2,Prl2c5,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.6015210215342802,0.0
1 vs. 2,Mef2a,-1.342022505792937,-0.46132023636632297,0.8807022694266139,0.0,-0.5943187397020139,-0.0
1 vs. 2,Ccdc172,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.5922791352446339,0.0
1 vs. 2,Dleu7,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.5922791352446339,0.0
1 vs. 2,Dmbt1,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.5922791352446339,0.0
1 vs. 2,Gm10857,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.5922791352446339,0.0
1 vs. 2,Mir673,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.5922791352446339,0.0
1 vs. 2,Olfr1234,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.5922791352446339,0.0
1 vs. 2,Zfp534,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.5922791352446339,0.0
1 vs. 2,Tmprss7,-1.0065168793447035,0.2935674231422033,1.7614045388532278,0.0,0.5907733876057052,0.0
1 vs. 2,Pomt1,-0.8807022694266139,0.2935674231422033,1.5517135223230807,0.0,0.5906562354279378,0.0
1 vs. 2,Krt79,-1.0065168793447035,0.2935674231422033,1.8033427421592565,0.0,0.5900209121693046,0.0
